,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song
191,0.794,0.896,-1.514,0.0677,0.00371,0.615,0.0876,0.5,125.999,46rZgRYU1H5Xnv0n75OGis,190476,Valentino Khan,Deep Down Low
192,0.762,0.913,-4.101,0.111,0.233,0.47,0.11,0.365,126.001,7s2fTKrE24gtReCNgnrRBo,215476,Zonderling,Tunnel Vision - Don Diablo Edit
193,0.807,0.826,-10.35,0.0471,1.76e-05,0.872,0.572,0.147,125.022,6gouvqZpTHZDYHWieK7Dkp,387355,Uto Karem,Revolt - Original Mix
194,0.636,0.6,-6.964,0.0288,0.211,0.0,0.141,0.476,100.051,4ODnJrz0C3AJ4DFv8YQhJ8,214827,Kygo,Sunrise (feat. Jason Walker)
195,0.678,0.819,-3.306,0.0313,0.191,0.0,0.159,0.499,90.004,1Sl3njkhhz8nrSPZroDQ82,184248,Dimitri Vegas & Like Mike,Complicated (feat. Kiiara)
196,0.571,0.746,-4.473,0.304,0.00281,0.000101,0.0418,0.367,199.845,0ORp7jlJX6suJdbmSj8Lu3,206400,Sak Noel,Trumpets - Radio Mix
197,0.836,0.665,-5.779,0.0745,0.308,0.000925,0.0714,0.677,120.997,4bAmAVdks2Y84VNVVLXFwN,180336,Sam Feldt,Show Me Love - EDX Remix / Radio Edit
198,0.793,0.848,-5.327,0.121,0.0637,0.226,0.0647,0.455,128.104,1HCw8XKtTgWWU3JlEUR0qQ,137661,Deorro,Bailar (feat. Elvis Crespo) - Radio Edit
199,0.807,0.812,-5.009,0.106,0.00773,0.000501,0.236,0.242,128.012,5nIrdpo8eXQU3YgZelEXkd,171799,Vigiland,Shots & Squats
200,0.755,0.891,-5.516,0.174,0.273,0.0412,0.12,0.515,160.021,4kT18i0w2ZYeLTFPdpkihT,192000,Keys N Krates,Dum Dee Dum
201,0.768,0.952,-2.191,0.151,0.0101,0.000121,0.0901,0.67,128.006,7ugGMMutTrQFvkoN4NL8Be,167813,TJR,We Wanna Party (feat. Savage)
202,0.81,0.875,-9.938,0.0406,0.00253,0.917,0.11,0.186,126.006,1vpLDmas6bx8KbbxYzu1qn,465289,Bart Skils,My Part of Town
203,0.401,0.872,-3.641,0.314,0.167,0.0,0.362,0.472,104.592,7dOeiXeTSfA1ixaYmQcWu7,201257,OneRepublic,Rich Love (with Seeb)
204,0.761,0.459,-6.678,0.0334,0.475,1.44e-05,0.0939,0.646,105.008,4fo2ukC14t233DK7mMiEbu,217714,Jumpa,Don't Go - Remix
205,0.872,0.608,-6.701,0.0343,0.0129,0.00617,0.169,0.338,121.989,7Ks33rrHnN2hUdQyKGghCi,228197,Bruno Be,Need Someone
206,0.685,0.76,-4.882,0.0313,0.00465,1.61e-05,0.219,0.323,128.035,630NcCRy9UpGgVKEPBQSIH,184453,Quintino,Can't Fight It
207,0.838,0.72,-4.135,0.0483,0.0862,0.00696,0.0772,0.203,122.993,51tUT1gHE30GQPhn1agudM,251987,Kiesza,Hideaway
208,0.649,0.784,-4.266,0.0325,0.00568,0.000474,0.0878,0.289,127.985,42Q8gr73Sjr6supT4PlU2F,282041,Borgeous,Invincible
209,0.515,0.837,-2.552,0.0401,0.0868,0.0,0.0403,0.52,126.026,6J7ZSdEEYo3ns4gnHdwRL0,203960,Tim Berg,Seek Bromance - Avicii Vocal Edit
210,0.742,0.864,-4.827,0.0556,0.00189,0.854,0.0416,0.459,124.014,4Z15jkRyDXv9peO9FFv9ou,358548,Luca Debonaire,Drum & Bass
211,0.485,0.824,-4.106,0.249,0.035,0.0,0.774,0.326,127.782,2QhSNtqOoxIVZjp6yllL32,204375,KSHMR,Wildcard (feat. Sidnie Tipton)
